open_day,hedge_stock,action,stock,new_allocation$,new_quantity,open_price,signal,close_day,close_price,close_type,sector
60,LOW,long to hedge,WMT,846.4117636,8.988125344,94.17,-99,-99,-99,,Retail Trade
60,LOW,long to hedge,WSM,986.9417846,18.75602023,52.62,-99,-99,-99,,Retail Trade
60,,buy to open,SFM,10000,372.8560776,26.82,-2.27076787,-99,-99,,Retail Trade
60,SFM,short to hedge,AAP,-21.00242699,-0.120240608,174.67,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,AMZN,-664.233448,-0.437937832,1516.73,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,AN,-3842.975763,-103.6121802,37.09,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,AZO,-41.35825759,-0.050485538,819.21,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,BBY,-977.6726722,-15.74605689,62.09,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,BURL,-531.5821299,-3.578713679,148.54,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,CASY,-203.8594031,-1.624895609,125.46,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,COST,-842.152919,-3.853012394,218.57,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,CRI,-3.042274636,-0.033646037,90.42,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,CVS,-262.8229886,-3.500106387,75.09,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,DG,-640.5743809,-6.089110084,105.2,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,DKS,-921.7304067,-26.26012555,35.1,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,DLTR,-536.240268,-6.52916435,82.13,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,FL,-416.4666554,-7.863796364,52.96,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,FND,-293.3089415,-8.961470869,32.73,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,GPS,-961.7527484,-37.26279536,25.81,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,GRUB,-473.040545,-6.019093332,78.59,-99,-99,-99,,Retail Trade
60,SFM,short to hedge,HD,-914.334903,-5.400678694,169.3,-99,-99,-99,,Retail Trade
